,AuthorName,Comment
1390,Sarkha.xMixx,"This is *really* annoying guys. I'm a HUGE fan of the marvel and the avengers too, but it's really stupid that y'all are combining the two Completely different universes together.. i obviously get that those are just jokes, _and that ( i hope) you guys don't actually think that Agent H & Agent M and Thor & Valkyrie are the same persons,_ but too many can be really annoying.. Sry if i offended anyone
but please just enjoy the movie for what it is?"
1391,星空アゼム,Is this like a sequel to the old MIB? Somehow?
1392,IAM SERIOUS,"Peter Parker: There’s got to be someone else you can use. What about Thor?
Nick Fury: Off world. oh wait... he with the Man In Black now."
1393,Sadia Adil,For a sec I thought thats Bradley Cooper at 2.06 😝 .My bad
1394,Sadia Adil,Too late.I already pledged the loyalty.U should have said no no no before
1395,.,No.
1396,Ultra Window,phase 4 looks weird
1397,高旭东,ok..... has rockstar games ask for any copyrights?
1398,EtayHIT,"Little elf : are you a queen 




Valkyrie : yes, have you been to new Asgard 

1:28"
1399,Wan Kahi,@Donald Trump maybe it's a marvel's joke because Thor left earth and give his title as leader of Asgard/New Asgard to Valkyrie. She basically a Queen of New Asgard now ... BADUM TSHHHHHH
1400,Ferdi Farmadi,Featuring Ra's Al-Ghul
1401,Benjamin D,First nomination for the gold raspberry award 🙈
1402,Julianna artz,I dont feel like chris would look nice with a gun lol
1403,mfumo Godfrey,this movie is going to be fire I hope it's going to be better than the first MiB movie
1404,Sandeep Kodeti,Drifting left Lebowski
1405,DoodleDoop,how did they make chris hemsworth like a melted ice cream
1406,Andrew Reyes,what happened to fat thor?
1407,FrosT Moore,So no one is ruling asgard?? tskk
1408,EmiNem Nem,Korg I guess
1409,finisher489,"Thor, Valkyrie and Ra's Al Ghul."
1410,Eva Bughao,😂😂😂
1411,BOB MARLOU,Thor and Valkyrie become an agent 😎😎😎
1412,Chloe Sanvictores Vlogs,After endgame?! Really Valkyrie and Thor lol
1413,Barnali Pal,I like Chris Hemsworth in his role and l am a big fan of him💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝
1414,Hermaine Catherine,Baby Thor 😍😘
1415,RezNeo Gaming,Wait there's also liam neeson...?!
1416,anne obien,So Queen Valkyrie has a new job..with Thor
1417,aratrika patra,What if Will Smith has a cameo
1418,Dante Crailman,They did a cameo in the first trailer.
1419,Anil Warudkar,worst decision to take out will smith
1420,Dante Crailman,"Nah, this is their UK division while K and J are stationed in their US division."
1421,Cameron Ball,“iM hEre bECauSE oF tHOr hAHa” stfu don’t @ me
1422,The Big Dog,This is the Thor whose hammer has been taken by the 2023 Thor
1423,it’s ya boi,"Yes, Valkyrie is a queen, she’s the ruler of the asgardians"
1424,Jason Phelps,"Looks pretty rad to this guy, who has seen all the previous in theatres"
1425,Xnemesis,Hey it’s Valkyrie and Thor
1426,An asshole,Wait why change the gender of the guy im a girl as well but it kinda makes no sense to me why cant they just make a movie all about girls that is another version of just a girl version of a movie it just makes no sense. Like why just this does not make any sense but they will get money off of this I guess. It just kinda pisses me off.
1427,Ima Salmaa,It's weird seeing them like this 😂
1428,Colonel Aleph 0,Thor and Valkyrie become Men in Black
1429,Matt Oberst,Wait Valkyrie and Thor Is off World now!
1430,DarknessShallfall934 ho,stop trying to revive movies. Dont be like pet sematary
1431,Shish Kebab,I just realized Liam Neeson would have been a perfect man in Black. He has the perfect set of skills.
1432,Richard McEllan,he can replace the woman. so it can be men in black again.
1433,Alex Hartsell,A Men in Black movie where Thor and Valkyrie team up with Prismo? Shut up and take my money!
1434,Alexander Nguyen,wheres the ax or the hammer?
1435,Entru h,Is this the skrull invasion?
1436,Entru h,Those two like working together don’t they haha
1437,Shmurple Purple,WHY CANT WE JUST ENJOY THE ORIGINALS OF MOVIES
1438,Jordon Mccalla,"This is what happend when thor racknorock, captain marvel's skulls and a spy movie have a baby"
1439,SHAYREN SHAIKH,Why I'm feeling like I'm gonna miss Will Smith in the movie
1440,Challenger the black leader,How can you still call a movie men in Black when there’s a female in the movie?
1441,G S,No ty
1442,Pang Christian,"1:28 well she is a queen, queen of asgard"
1443,Adrian Like,"-What about Thor?

-Well, you know ... it's complicated."
1444,Ricky Conacher,😂
1445,Wally The Walrus,Wait thor was offworld because hes doing this
1446,Spandana Matapati,Omg omg ...Chris ...!!!
1447,Master Channels Film,The way it is
1448,Jinxxi,"They fought with Thanos, they can do this."
1449,Nigel Delos santos,Amazing!
1450,ali fathu,Why is this girl choosen as heroine aren't there any better ones left..🤔🤔🤔
1451,Sunny Suwanmethanon,"59%comments:Asians(Indian,Chinese, Southeast Asian etc.)
30%comments: Europeans
10%comments:Americans
1%comment:Africans"
1452,KitKat,*Thor looks weird without his beard but Eminem's beard is weird* 😂
1453,jess sheeran,OMG I NEED TO WATCH THISSSSSSSSS😍
1454,I LoveNErdystuff,NO FREAKING WAY
1455,jeann francisco,Wow after endgame this valkrie and Thor. And also Thor got his muscular body again
1456,Timothy Dela Cruz,This thor ragnarok 2 or something lol
1457,I Hope Y'all Remember Me,Notice: No beers are used in this movie.
1458,Lemon melon,I would like a Agent L(Loki) pls .. thank you
1459,Devancx SedBoi,"Avengers actors were actually everywhere.. like in the Chef (Happy, Stark, Romanoff) :v"
1460,Jon Maikeru,For asgard!
1461,Rohit Narwade,Feminism
1462,E X O,Well mcu fans said they wanted Thor 4 but they didn't say in which universe ¯\_(ツ)_/¯
1463,The Iaro Show,@Itz Sh0ckerz Thor in Black
1464,FeverPlacidツ,*900th like!*
1465,Itz Sh0ckerz,"@officialzvws yt 4

1. Thor (2011)
2. Thor: The Dark World (2014)
3. Thor: Ragnarok (2017)
4. This, jokingly Thor 4"
1466,Play Boy,616
1467,Saber,officialzvws yt 69*
1468,Elsan Rose,Where is Loki?
1469,Kat H.,And THAT is how you introduce women into male roles. None of this terrible women ghostbusters crap
1470,Billy Grey,Just take a look at this SJW garbage
1471,Victor O,"MIB: We're recruiting. Experience in extraterrestrial affairs an advantage. 

Thor x Valkyrie: Duh!"
1472,MAYU,"More like ASGARDIANS IN BLACK.





SOMEONE ADD HIDDLESTON AND RUFFALO TOO.I need my revengers back."
1473,Lawrenz paolo Morrz,lmao
1474,oopw qo,😂😂
1475,DennyIRL,Thor and Valkyrie hype.
1476,MR SMILE,thor and valkry
1477,Onee San,Black man do it better
1478,Platinum CTvS,2:12 scene from ragnorak right before he fights Thor lol
1479,Platinum CTvS,"the MIB producers are smart af for doing this, they will attract so much marvel fans just because of the actors. 200 IQ"
1480,Jayson Borga,Actually thor is looking for Noobmaster69 on another universe just wait for another trailer of him
1481,Sarah Craze,Yep pretty much.
1482,KitKat,Jayson Borga 😂😂😂
1483,NASA KO JHANSA,Is he was Chris Hemsworth
1484,theking gamer,The asgardians are back
1485,Kunal Gaikwad,bring me thanos
1486,Cooly,"Thor...
Valkyrie....

THOR 4"
1487,Hero force Studio,Thor Ragnarok getting back in action
1488,rishab jain,Amazing trailer
1489,K4z x,Challenge find mib comment in this comment section
1490,Shubhransh Singh,Thor and valkryie wheres hulk and heimdall😂😂
1491,Dhana Sree,Let me be the first one the most important question.  Where is K and J?
1492,BC Lim,I have the feeling I am watching Marvel movie
1493,Hemsingh Panwar,First they fought thanks now they're fighting aliens
1494,sheriff 65,Cant believe after the endgame thor got his body again
1495,Tahnia Barrie,Larry and Laurent😍😍😍😍😍😍😍
1496,Mayday Stund,Thor Holding a Gun 😍😍😍
1497,Mayday Stund,So excited to see Thor again.
1498,Bhavya Shah,Two Asgardians who are off world rn
1499,Bose Mpuchane,"Yay to Emma, Tessa and Les Twins!"
1500,RumarFile,Straight to a Wallmart Bin near you!
1501,Ketan Patel,"At the end of the movie, Thor will wake up from the dream and say, ""Take that, noobmaster69"""
1502,Random Z,"I simple


No Will smith no see movie"
1503,Jagathπ YT,Atleast Thor got a better character than Avengers Endgame!!
1504,Ádám Simon,Yeah feminism. I got that. But why is she wearing men clothes? WITH A TIE! That's stupid...
1505,Hedwig Clarimonde Strange,"I grew up watching Will Smith, now I'm very glad to witness Chris Hemsworth and Tessa Thompson grace in their roles."
1506,Priya Patil,Where is Thor's Axe and valkerye's horse and sword😂😂🤣🤣
1507,Fennee Chandra,Thor holds that big gun like he does in Thor:Ragnarok
1508,Flo Luy,"It is MEN in black, why is there a woman ?! I don't understand ist just a Quote woman.."
1509,Vinaykumar Jangam,Where was agent K
1510,· Perimast ·,"Yo, its not always about marvel"
1511,Delulu I- BTSARMY,"It'll be interesting to see. Gonna miss the old MIB though, not gonna lie. They were part of my childhood 🙂"
1512,Simone Victor Carrillo,Is this a new Marvel films? thor and valkyrie on earth wearing black?
1513,RAVEN 3452,Hey thats pretty gay thats a woman in a movie called MEN IN BLACK
1514,Tahu Stars,There were women agents in previous MIB movies tho
1515,R3n3gad3,Ayy the original SCP and Torchwood are back with Thor and Valkriye!
1516,awkward ambivert,can Tom Hiddleston have  a cameo in this? 😂 please?  HAHAHAA
1517,bkling100,awkward ambivert YES
1518,twisted mind,YES PLEASE
1519,Ranjit Kumar,I want this so desperately
1520,oo o,hahaha
1521,Sarah Craze,@Harry Gerry yep pretty much.
1522,BENEDICT Death,This is basically thor ragnarok but its in present times
1523,DeputyPH,*why i keep saying men in bAcK*
1524,Puro the Black Goo,*Thor Ragnorok: Into the future*
1525,Thasia Kristianti,Is that even Thor and Valkyrie? 😂
1526,Barry Allen,Plot twist: noobmaster69 is the villain in this movie
1527,Captain TPG,wtf Thor\Valkyrie
1528,The Dopamine,I’m hear to read the sexiest comments and Thor Revengers 😂
1529,Beowulf Macbethson,Asgardians in Black.
1530,IMNNO,That Lexus product placement
1531,xXEdge_LordXx,Wished they used the mib theme in the last 3 movies
1532,John Chavez,THAT'S AMAZING!
1533,DeNickle Gut,I like how they choose both of the people from marvel
1534,N Stark,women in black. Not men
1535,Ashley Yuriar,Anyone knows the song on the background?
1536,AbdouBlueLight Gaming,where thor hummer ??
1537,Esinam Adzo,Wow someone certainly lost a bit of weight after Endgame
1538,Thicc Niggaz,Is this the new Asgard?
1539,Noob yeah,The same repetitive joke related to MCU 😅
1540,Williem Iman Wijaya,So now thor and Valkyrie fight kree?
1541,Williem Iman Wijaya,It's like Valkyrie and thor from another universe
1542,Chris Hudson,Chris love your work but i will also miss jay and kay in this
1543,Mr Sadnessinz,"LOKI :Brother you hunting an Alien now ??

Thor : Yeah! This is My Job now loki so please ..




Loki :WTF 😦"
1544,Farnnie Ph.,What happen with Asguard?
1545,Anime Love,The men and women in black😂😂
1546,Chet Johnson,Dam ill b lookin at her nose the whole time
1547,Tanya Antony,Oh this is the multiverse everyone’s been talking about
1548,Jeremiah White,😭😭😭😭😭😭😂
1549,ɳσƭ ૨αყ.,Hell yeah.
1550,Tanya Antony,Wow Thor cleaned up
1551,MASTER YI,No will Smith ...gg
1552,Saturn 12,"International: “Most powerful weapon in the universe” 

Cricket: “Am I a joke to you?”"
1553,Akainu Sakazuki94,Men in Black > Agents of Shield
1554,Blue Phoenix,I lost interest in MIB until this came up. Ill watch it because of these two!! Cant wait!!
1555,Lifewood,"1% ""Not bad to be a new M.I.B""





99% ""Thor...""


Since when Thor need a gun?I though all alien is Thor friend?"
1556,Srii Vishnu,Really miss will smith
1557,Ashish Jorwal,THOR
1558,shiks13,"Where is the hammer 🔨.. ohh oops this is not another marvel movie.. I wish the name of the movie would be 
Thor:  life after thanos... 🤣🤣🤣"
1559,Marian Pas,Tooo  muuuuch   C....G......I. It hurts my eyes
1560,CodingAndCaffeine,there are more comments about endgame here than the actual trailer of MIB
1561,Appul Malik,Thats why fury said thor is busy
1562,drichm 2599,Thor and Valkyrie are back!
1563,Đåïmąøü Ŕãęįi,That girl..who was she again?
1564,Marquiz Milton,I'm glad Liam Neeson is back...
1565,NixGaming 29,Wait... So now Valkyrie and Thor signed up as MIB Agents?
1566,yourpalsomeone,Asgardians of the galaxy vs skrulls Very nice
1567,Sai Kuroha,No will Smith?
1568,Riyos Syaifullah,Pensiun jadi raja. Thor dan valkrye jadi agent
1569,shivam mishra,Thor and Valkyrie 😍
1570,Finn Soup,I still see Thor
1571,Andhika Pratama,Where's agent K and J ??
1572,MiroTheGameplayer,Oh look it's Thor and Valkyrie. Thor seems to have lost the weight and shaved his giant beard he had in Endgame.
1573,virginia rozza,"Holy moly, the cast is exceptionally praise worthy. Thompson and Neeson plus Asgard’s finest, all in one MIB film? Yes please. 😌🌟"
1574,Evan Connors,Asgardians in Black?
1575,Nathaniel Alamano,Thor and Valkyrie strikes again!
1576,Leinarina,Looks like Thor back in shape!
1577,Sarujan Rupan,Oh that's why he has short hair
1578,Andrian Hendrawan,Oh new asgard just failed because of drunk asgardians.
1579,The DomRunner,"Ra's Al Ghul,Thor and valkyrie...!!!! hmmm Interesting !!"
1580,Arielle González,YES MY FAVORITE DUO
1581,Ayeesha Sidhik,THOR 😍😍😍😍😍😍😍😍😍😍😍😍
1582,marvel4ever wakanda4ever,"Valkerye and Thor. Ok, I'm impressed"
1583,THE ASABVA,MIB - MARVEL IS BACK
1584,Ahmadabi Yoso,Thor and Valkyrie
1585,Sophus Grauen Fisker,Valkyrie and Thor back at it again
1586,Laxmi Daz,So James Bond and Ethan Hunt had a baby.😊
1587,LoLo Sunderland,Nope
1588,spida45 Mitchell,AVENGERS ASSEMBLE
1589,Annisa Ulfa Rahma,Asgardian in black
1590,TrickTek Earn,He should have hammer or stormbreaker
1591,Eli Thomas,Thor and Valkyrie
1592,cheese cat,"When you're looking for a comment about Agent J and K but all you see is about Thor and Valkyrie




Adios"
1593,Ms. RandomLeasure,I miss them
1594,Captain Obvious,At least O's there
1595,Youesei Lee,Exactly
1596,Ardyn Lucis Caelum,Yeah man real MIB fans miss K & J
1597,Unfunny Profile,"Holo Sparkling Rainbows 
Reality is often disappointing"
1598,Aurelia Chircu,"I like both actors, but there îs no MIB without K and J not for me."
1599,Eman Ali,No one can beat will not even Thor
1600,Eman Ali,Lol Thor and valkirye this can’t have been an coincidence
1601,Zisei,Somehow this trailer felt a bit long.
1602,Abhigyan Goswami,"Before : thor
After : men is black"
1603,Sigit Nugraha,Thats Asgardian People?wkwkkw
1604,Loli Saikou,Ohhhh. So this is what Thor and Valkyrie do in their free time
1605,macjames gornes,Thats Why  thor  are  going  out  of  the  avengers  poor  avengers
1606,macjames gornes,Thats Why  thor  are  going  out  of  the  avengers  poor  avengers
1607,เทวา สรสิทธิ์,เทพเจ้าสายฟ้านิหน่า
1608,Par Serth,Out of them..
1609,Kavi Sohotoo,Felt a lil disappointed when MIB is no longer black. But at least thor is playing it
1610,Zhashi Zee,Lol what if they were really Valkyrie and Thor??
1611,She Who Must Not Be Named,I JUST SAW THESE TWO IN THOR : RAGNAROK AAAAAA
1612,Zhashi Zee,FINALLY Thor is back in shape!!
1613,Hugh Kwan,so not watching this boring crap.
1614,von joaquin,where is the stormbreaker also why i did not see any beer in this trailer
1615,Guiaser Tanggao,The AZGARDIANS are back... 😂😂😂
1616,Rousbel R,It's weird for me to see Chris Hemsworth holding a gun
1617,DeCave Subekti,Mjolnir and stormbreakerr
1618,Waffles Sticc Draws,"Yazzy 
There is a scene where he has a hammer"
1619,jyotsna baliyan,He holds a hammer also in second trailer 🤣
1620,FrostBite,Clearly you haven't seen Red Dawn
1621,Mr Confidential,@PasCone 103Z I love that people understand this reference 😁
1622,godspeedpl,"love those two, this movie gonna suck nevertheless"
1623,Big Vinny,Feminism in everything these days!! Can’t have a guy guy agent!! Must have a female looked tough and a man look weaker !! Men and woman in black!! Did 2 guys white and black cop offends woman now ? So yeah we go for a black girl so she fits the colour sentiment and also gender equality? I assume the male agent here is gay?
1624,ตรูมีไร อยากจะบอก,น่าจะให้ will มาเล่นนะกับ tommy lee มาเล่นภาคนี้นะ
1625,Soumyashis Mukherjee 07,I hope Will Smith atleast makes a cameo in this movie......MIB is incomplete without him
1626,Pooja Anil,Feels interested to watch jus coz of Thor💖 and Valkyrie❤
1627,Moonlight Sonata,Well known as thor and valkyrie fight aliens
1628,Ria Garino,Thor Odinson and the Valkyrie after the endgame:
1629,Neil Gabion,Chris is perfect here.
1630,HAKIM KUNCI,New asguardian
1631,Anne  Ezekannagha,I'm thinking...so this is where they came!
1632,Iconic X,Valkyrie X thor
1633,Ngau Nguyen,I thought I d hate it. Turn out there s hope for them after all.
1634,the joker,men in black but she's not a man
1635,God G,2:14 man and black
1636,God G,man and black
1637,hgu Tablang,Thor Odinson wants to know you location you Men In Black
1638,Abang Lie,"People who watch this trailer:
1% from MIB fans
99% from Avengers

This is why alternative timeline is dangerous"
1639,Imlaor25,"I’m a MCU and MIB fan. You know, MIB is Marvel too."
1640,Infinite Sensei,"You mean ""time heist?"""
1641,Illusion Facts真实幻境,Is Thor's fan ok
1642,leedoha hidalgo,Mary Sultana by
1643,Nyasafari Nyankundwa,@Tony Stark  0yygtyggggyýybbbhhhhhhhhhhjhhbbbjjjjjhbnjjjjjbhbbbbbbbbnnnnnnnnnjnñnnnnjjjjkkkkkķjjjjjjjjjjjjjjjìjjjjjjiiikjkjjjkjiìììjìkiiì8iijjjjjmkkmkkmmkkķkkķkkkķkķkķķjjjjjkjjklkkkkkķkiikiiikjùuùuujiìjnhhhűnnbggggggggfghhfffvçccc. Vvvvbhtbnn
1644,monica sugam rai,THOR❤❤❤❤❤❤
1645,me boi,they were dumb to cast both of them in the same movie.
1646,Apratim Dwivedi,Will and Tommy...
1647,Yang alexei,Man & Black
1648,Jonezx2020,Oh that’s Tessa. Now the movie appealing
1649,DeathtoLFC,1:46 Larry and Lau in top form
1650,Ash,Holy frick kumail!
1651,kaushik krishna,Hey let's welcome the worst MIB movie ever and thanks a lot to Chris Hemsworth for ruining the classic .
1652,Savage Gaming,"I would like to see him again 
our hero
*WILL SMITH*"
1653,Gardea Dirgantara,J? K? where are they?? Why????
1654,Ashura Ryuuzen,Hope K and J shows up in the end and kill that purple simpson before he snap his fing. . . . . Hmmm wait a minute i think im in the wrong trailer.
1655,Putri Nuzullina,"I think i'm on the verge to ship Thor and Valkyri when i watched Ragnarok i just saw them like partners in crime, i think it wilk be just me who ship them"
1656,balldontstop,Whats this??? Asgardians in black??
1657,best YouTube channel,This is thor ?
1658,Vu Hoang Nhat Anh,skrull
1659,Tooth Less,Chris is so handsome ❤😍
1660,Soniya Kabdwal,"My brain: DON'T SAY THAT
  DON'T SAY THAT
DON'T SAY THAT
DON'T SAY THAT
DON'T SAY THAT
DON'T SAY THAT
DON'T SAY THAT
DON'T SAY THAT

Me: Hey look, that's Thor and Valkyrie"
1661,Vineet Suna,*This movie is incomplete without Will Smith ❤*
1662,Cherom kun,Where can I watch it ?
1663,UxF Gaming,AM I only one who is Missing Will smith
1664,jowhana Pamplona,From thor>avenger> to men in black tandem
1665,พิสิฐ หาญอาษา,Thor In Black​ not Man​ In Black
1666,Bharat,Ohh no Hollywood is becoming Bollywood now. Need to move on to see old movie's now.
1667,Hyde101564,1:29 Are you a queen?
1668,Hyde101564,How did Thor become not fat?
1669,Alexandr BocharoV,Хороший трейлер.
1670,August N Virgo,retired asgardian😂
1671,Black Gray,women and man in black
1672,Ayin. mh,I want the original characters MIB
1673,Ashok Sana,I don't love fat thor now
1674,Fade,Will Smith better be in this or make a comeo at least cause it’s not MIB without Will Smith
1675,Meliodas Sama,I think thor played too much fortnite
1676,nhil gallanosa,"you mean "" Thor and Valkyrie""."
1677,Ryan Nata,"""From the director of the fate of the furious"" ok time to scrap this  FYI ruining the men in black with women is fucked up should be called feminist in black"
1678,eka rani,This must be their future life in new asgard
1679,Clarieta FAM,THOR AND VAL? ♡
1680,tommi amin santoso,"Some people makes some jokes by relating MIB with MCU , but not us!!!"
1681,Russell boi,Definitely gonna watch This thor movie
1682,音楽MURIK,So basically thor and the valkyrie on adventure...
1683,just jesus,It will be boring man without will smith
1684,SarAm Revolver,Female in black*
1685,Scott Wooldridge,Looks like SJW crap.
1686,Bharat,That's true mate
1687,Timfun - Fatwa Dhiauddin,Another Universe of Marvel
1688,Hunter D,Well...this gonna be great
1689,IcyMind,"To me  Will Smith and Tommy Lee is the best MIB actors...still, i like thor n valkyrie"
1690,Azwad Arham Aryas,mib : winter solider
1691,IcyMind,Thor and Valkyrie in the same film...wow
1692,The Movies,Hope the film succeeds
1693,kaptenlemper,Thor and Valkyrie of Earth-751?
1694,Dioross Orozco,"We need the duo, not some woman in black."
1695,Deizar Indiana,No Spielberg?
1696,CORTEZ CASTILLO,Why..why why why...
1697,Live Action Man,well Thor and valkeri time to kick some alien butt and save the world.
1698,Zero EX,"after Thor defeated Thanos, he became bored and then he became an agent."
1699,Fright F0000,Chris Hemsworth is dumb
1700,K E L .L O,Wonder y they change the steering wheel joke🤔
1701,Ozza Tv,This gonna suck
1702,DEDI KOQ BOTAK,It should be man in white
1703,Kathryn Potts,Thor 4 looks really intense
1704,Syfi Freak!!!!!!,Interesting to see how this turns out.
1705,We Love Music,"""I'm here for thor jokes"""
1706,Irene Skye,"Too late I alrdy pledge my loyalty, u should've said no no no before 😂"
1707,Irene Skye,"'Are you the queen?'
'Indeed she is, I pass the kingdom to her'"
1708,Jenny Cruz,"""the men and women in black"" he is soo my feminist icon"
1709,Jenny Cruz,so weird seeing thor with a valkyrie without a red cape and a body suit
1710,Jenny Cruz,so where is loki and banner
1711,Arif Rakhman,Now they have kidnapped Bryan Mills's daughter to space? The kidnappers are aliens?
1712,Ryan Jay Villorente,But they forget who's the true legends of these movie.
1713,Burhand Some,Thor and valkry
1714,An Imposter of Justin Y.,"""Men and women in black""






Perfectly balanced."
1715,Nihal King,Okay Avengers fans I get I am an avengers fan too but I need more MIB comments.
1716,Nihal King,Nah will smith
1717,BLINK mahfzhh,I CLICKED THIS VID CUZ I SAW CHRIS HEMSWORTH
1718,rakesh ramesh,Thor and Valkyrie in new Avatar awsn
1719,Eric Williams,Boo Romcom BS. Where's Will Smith and Tommy Lee Jones
1720,Samson Josy,Okay...strongest weapon in the Galaxy...looks like thor stoled it from the guardians...
1721,Souvik Sinha,Mix 2 parts Avengers & 4 parts Transformers .... This won't taste like MIB but will get you high
1722,Brooke Boatright,they shaved the beard 😭
1723,Abhinandan Rout,Thor and Valkyrie United again 😍
1724,Maria Abraham,Chris's smile at 1:31 is so pretty! I keep replaying it!
1725,Henry's music,Thor and Valkyrie’s secret life lmao
1726,Pandu Production,this movie gonna suck like hellboy reboot
1727,its is Ma'am,Nothing beats the original
1728,Kittituch Tangoon,Thor and Walkyrie. 😂
1729,syeda rizvi,WOAH THESE TWO SO I CLICKED IMMEDIATELY. Guess what... I LOVE IT!!!!
1730,Ashish Subedi,"Anyone from
India?"
1731,Maddister 2.0,Even before clicking on this video I knew how the comment section would go🤪
1732,AMIGO MEDIA,All ways best wils smith
1733,Farah Husna Farah Husna,"Men in Black
Men in UNCLE 😎"
1734,Kevin Alexander,Is this men in black or couple in black...I don't  see men but man...
1735,unknown 123,Thor Ragnarok :)
1736,Jaebum's strawberry milk shake,Now all we need is Tom hiddleston  🙂
1737,:0,I LIVE FOR THIS DUO
1738,Angga Surya Prayogi,Chris with brendon urie will be better 😅
1739,Shilraj Ashok,Worst Trailer i Ever Seen
1740,b blossom,"Before scroll down to comment section, i knew it there will be Thor"
1741,Maman Mon,Where have been your Hummer Thor....??😢😢😢😢 luv u chris Hemsworth nd Thompson....
1742,rakesh surya,Without Will Smith how come it will be men in black
1743,jessie james,If I waste time watching it will be because of that gorgeous Chris Hemsworth.
1744,Philina Salvador,Wahh i want to watch this because of Chris Hemsworth 😍 Handsome 😍
1745,jessie james,Going to be a flop. Why must they have a woman? No one can replace tommy Lee Jones and will Smith. Icons.
1746,Nightmare,"Spiderman:what about thor?

Nick fury:Off world





Thor:"
1747,Dian Pawestri,PEOPLE OF ASGARDDDDDDD
1748,Max Mach,Words can't describe how awful it is.
1749,Chelsea Ramos,I had an Endgame ad prior to the video 🤣🤣
1750,J Me,Thor is holding a gun instead of a hammer?????
1751,Mr. shit 6,asgard is black?
1752,Shiny Sanghvi,“MIB you look real scum and FIY your little club here sucks.” Haha I like this one
1753,1800zshn,i thought thor would be in GOTG 3?
1754,Taha life dive,"5% talking about MIB
95% talking about Thor and Valkyrie crossover"
1755,Sneaky Taze,Exactly. Where them Agent J and K fans at?
1756,Taha life dive,And I thought endgame was the biggest crossover
1757,Nicholas Huang,"Not gonna see this. Tommy Lee Jones and Will Smith will always, will forever be the actual MIB. Rather watch John Wick 3 yo"
1758,boban george,"Thor
present

Valkyrie
present"
1759,PO TA TO,I love Chris's voice! And his acting too hhahha
1760,Maria Haque,"Are you a Queen? Of course she is ,of Asgard!!!"
1761,Jennifer Segovia,Thor no more lol
1762,Jatin Wadhwani,"Who is here because of THOR
HIT LIKE👇"
1763,2020_ Exceptional,"When you you have finished watching every hemsworths' movies......
×sigh×"
1764,"I don't care, I'm playing widow","So the last Valkyrie and the Lord of thunder got their memory fucked up and this is where it got them ? 



Lol"
1765,Digvijay Patil,"I miss Rabbit, Miek, Korg 😣 and tree"
1766,Digvijay Patil,Asgardians of the Galaxy... this is what he meant
1767,mv rao,"Guys , give them a break. They just lost Asgard and lost half their people. I promise , it’s just a silly phase they’re going through.








Btw , I love it and I can’t wait to watch it!!!"
1768,Joboy Benitez,If the old men and black characters are not here like agent k and agent james i will be disappointed
1769,fatimah fitri,"Did they.... justwatch ragnarok and said flick and cast both of them?







I mean I'm not gonna  complaining or anything so....

Do go on"
1770,Alfiya Mulla,I am only their cause of thor the king of thunder
1771,magtube90,MIB are Asgardians.
1772,RøxTM,It's Valkyrie!!!
1773,Shakuntala Spr,Ah Thor took his mom's advice and  ate a salad🤗
1774,InfiniteNintendo,And cut his hair
1775,Sly rax,And hit the gym
1776,Clorox Bleach,Shakuntala Spr Also shaved as well
1777,Red Moon 96,Lmao
1778,Ryan Yoga,Thor and valkyre again haha
1779,Adit Munggaran,The Rise of Asgard 😁
1780,Aakash Sahani,1:29 Bowing to the Queen of Asgard. This is totally a Marvel movie.
1781,EVX MYSR,MIB From Asgard
1782,PandaZ BW,That the minion look like Baby Groot
1783,martin camalian,my hammer please.....
1784,Edward Chan,Hell would anybody not like Men (Women?) in Black?!?!?!
1785,Anubhuti Hiwase,SANDOR CLEGANEEEE at 2:06!!!!
1786,Kisuna 1,This will be amazing 😂 MIB here I wait
1787,Bekbek Byun,The man and woman in black from Asgard.
1788,Ajmal Bin Nizam,women empowerment  😄😋
1789,Frank Castle,the time machine side effect has make an alternative dimension where thor and valkryie become MIB agent
1790,pronoob official,Thor and valkryie became mib
1791,Do Uyen,Oh they finally uploaded the one with music
1792,Farin Shaikh,So much loveeeeee to volkyrie
1793,Tausif Ali,Now i understood why nick furry says thor is out of the world..
1794,Bung Ridho,Thor 4 (MIB)
1795,natasha das,What is the song in the background?
1796,Sara Sandhya siju,The men in the women in black
1797,Vlad As Blood,"Valkyrie and Thor
Paarrrkooourrr
In MenInBlack"
1798,Jhunified With Love,This is exciting
1799,εd вεɑઽ†,"ASGARDIAN, ASSEMBLE!"
1800,Tehuri Patena,"2:30
Ahh, so that's how the canyon was created 😂😂"
1801,Blaze Gaming,Thor ripoff
1802,Moon luna,THeY WerE ALrEady iN AVenGeRs
1803,A. Hamdani,"""MEN IN BLACK"" and there is a ""WOMAN IN BLACK"", why feminists??"
1804,SakuraXXX Lover,Even the TAKEN GUY!!!!
1805,pavan2487,Kumail Nanjani!
1806,Sarecala Fall,the men and women in black 👍🏻
1807,jiji song,"From the thumbnail i thought its a trailer of 
THOR &VALKYRIE"
1808,Sarath Sunil,"Wow, Just Wow! Putting an Ad infront of an Ad!"
1809,Chupolisous,LOL ITS BETTER IF WILL SMITH AND TOMMY LEE JONES ARE THE MAIN CHARACTER
1810,Eve Madlock,Thank you. Ived scrolled sooooooooooooo long just to see this comment lol
1811,CowKingDroid,I will miss will.
